City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
323,tripoli,20,GR,1556678447,93,37.51,22.37,57.0,4.7
324,mpanda,98,TZ,1556678636,96,-6.34,31.07,63.35,2.26
325,tura,0,IN,1556678636,67,25.52,90.21,86.84,11.81
326,carutapera,100,BR,1556678637,87,-1.2,-46.02,78.88,5.08
327,flin flon,100,CA,1556678637,83,54.77,-101.88,33.9,9.06
328,piacabucu,99,BR,1556678637,84,-10.41,-36.43,80.11,4.85
329,klaksvik,58,FO,1556677200,75,62.23,-6.59,44.6,5.82
330,zhigansk,100,RU,1556678638,89,66.77,123.37,27.96,15.93
331,kahului,20,US,1556678236,48,20.89,-156.47,84.2,24.16
332,wakkanai,75,JP,1556676000,62,45.41,141.67,59.0,16.11
333,virtsu,0,EE,1556677443,72,58.57,23.51,32.0,5.82
334,almaznyy,40,RU,1556676000,93,48.03,40.04,48.2,15.66
335,isangel,75,VU,1556676000,74,-19.55,169.27,80.6,11.41
336,thohoyandou,0,ZA,1556678639,84,-22.97,30.46,56.74,0.56
337,saraland,40,US,1556678593,100,30.82,-88.07,73.99,3.36
338,gorontalo,66,ID,1556678640,56,0.54,123.06,88.46,2.57
339,codrington,75,AU,1556678350,83,-28.95,153.24,75.2,9.17
340,westport,3,IE,1556678590,84,53.8,-9.52,46.99,13.06
341,rio gallegos,0,AR,1556676000,93,-51.62,-69.22,35.6,6.93
342,santa flavia,60,CL,1556678641,73,-51.55,-72.35,37.63,6.33
343,khatanga,0,RU,1556678641,87,71.98,102.47,11.08,4.83
344,yabrud,0,SY,1556676000,66,33.97,36.66,53.6,4.7
345,luanda,40,AO,1556676000,88,-8.83,13.24,77.0,6.93
346,bambanglipuro,39,ID,1556678642,69,-7.95,110.28,83.47,4.32
347,presidencia roque saenz pena,80,AR,1556678492,94,-26.79,-60.44,62.16,5.39
348,sabang,0,PH,1556678642,65,13.72,123.58,85.08,4.56
349,ilhabela,6,BR,1556678643,82,-23.78,-45.36,76.38,14.76
350,catuday,16,PH,1556678643,67,16.29,119.81,84.91,0.45
351,iralaya,32,HN,1556678644,82,15.0,-83.23,77.93,4.54
352,marzuq,32,YE,1556678644,33,14.4,46.47,73.3,5.66
353,aksarka,100,RU,1556678644,92,66.56,67.8,26.97,17.34
354,saint anthony,75,US,1556678454,28,43.97,-111.68,44.6,10.29
355,xining,100,CN,1556678645,47,36.62,101.77,47.92,5.88
356,chuy,79,UY,1556678646,56,-33.69,-53.46,60.31,10.29
357,tomatlan,0,MX,1556678646,73,19.93,-105.25,76.63,9.33
358,santa cruz de la palma,0,ES,1556678417,82,28.68,-17.76,64.4,14.99
359,vao,0,EE,1556678646,64,59.1,26.19,37.2,4.74
360,awbari,0,LY,1556678647,38,26.59,12.77,73.99,9.55
361,bubaque,100,GW,1556678647,75,11.28,-15.83,77.3,12.26
362,canchungo,84,GW,1556678647,72,12.07,-16.03,75.39,11.79
363,necochea,46,AR,1556677290,60,-38.55,-58.74,46.99,1.99
364,deputatskiy,1,RU,1556678648,79,69.3,139.9,14.34,3.4
365,marawi,100,PH,1556677874,79,8.0,124.29,84.0,5.01
366,inhambane,0,MZ,1556678648,94,-23.87,35.38,63.37,1.92
367,ukiah,2,US,1556678408,62,39.15,-123.21,59.0,2.06
368,atasu,4,KZ,1556678468,42,48.68,71.64,30.57,12.75
369,kavieng,70,PG,1556678649,64,-2.57,150.8,86.53,3.47
370,akureyri,90,IS,1556676000,93,65.68,-18.09,39.2,3.36
371,utena,100,LT,1556678650,63,55.5,25.6,47.35,6.4
372,tubuala,20,PA,1556676050,88,9.52,-79.03,81.0,2.8
373,ozernovskiy,0,RU,1556678650,57,51.5,156.52,41.26,7.0
374,ghanzi,0,BW,1556678651,44,-21.7,21.65,62.92,6.96
375,hay river,75,CA,1556676000,56,60.82,-115.79,14.0,9.17
376,henties bay,0,NA,1556676132,94,-22.12,14.28,57.0,4.0
377,nola,100,CF,1556678651,98,3.52,16.05,71.61,0.92
378,makow mazowiecki,0,PL,1556678601,65,52.86,21.1,51.01,4.7
379,hare bay,40,CA,1556678562,68,48.86,-53.99,28.99,18.34
380,miranda,75,CO,1556676000,83,3.25,-76.23,73.4,8.05
381,saiha,18,IN,1556678653,47,22.49,92.98,91.07,4.27
382,tacoronte,0,ES,1556678643,77,28.48,-16.41,66.2,4.7
383,hit,98,IQ,1556678653,43,33.64,42.83,71.02,2.33
384,majene,99,ID,1556678654,69,-3.54,118.97,83.53,5.59
385,botwood,40,CA,1556678562,68,49.14,-55.34,28.99,18.34
386,coihaique,90,CL,1556676000,75,-45.58,-72.07,46.4,4.7
387,salamiyah,0,SY,1556678655,59,35.01,37.05,61.66,3.56
388,coro,0,VE,1556678655,74,11.41,-69.67,81.44,24.76
